event,event_id,match_id,team1,team2,score1,score2,date,stage,status,url
VCT 2026: Americas Kickoff,2682,596399,ENVY,Evil Geniuses,2,1,5:00 AM,Upper Round 1,Completed,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
VCT 2026: Americas Kickoff,2682,596398,LOUD,Cloud9,0,2,8:10 AM,Upper Round 1,Completed,https://www.vlr.gg/596398/loud-vs-cloud9-vct-2026-americas-kickoff-ur1
VCT 2026: Americas Kickoff,2682,596400,KRÜ Esports,FURIA,1,2,5:00 AM,Upper Round 1,Completed,https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1
VCT 2026: Americas Kickoff,2682,596401,100 Thieves,LEVIATÁN,2,1,8:05 AM,Upper Round 1,Completed,https://www.vlr.gg/596401/100-thieves-vs-leviat-n-vct-2026-americas-kickoff-ur1
VCT 2026: Americas Kickoff,2682,596402,NRG,Cloud9,2,0,5:00 AM,Upper Round 2,Completed,https://www.vlr.gg/596402/nrg-vs-cloud9-vct-2026-americas-kickoff-ur2
VCT 2026: Americas Kickoff,2682,596403,MIBR,ENVY,2,0,7:00 AM,Upper Round 2,Completed,https://www.vlr.gg/596403/mibr-vs-envy-vct-2026-americas-kickoff-ur2
VCT 2026: Americas Kickoff,2682,596404,Sentinels,FURIA,0,2,5:00 AM,Upper Round 2,Completed,https://www.vlr.gg/596404/sentinels-vs-furia-vct-2026-americas-kickoff-ur2
VCT 2026: Americas Kickoff,2682,596405,G2 Esports,100 Thieves,2,1,7:20 AM,Upper Round 2,Completed,https://www.vlr.gg/596405/g2-esports-vs-100-thieves-vct-2026-americas-kickoff-ur2
VCT 2026: Americas Kickoff,2682,596409,LOUD,100 Thieves,1,2,5:00 AM,Middle Round 1,Completed,https://www.vlr.gg/596409/loud-vs-100-thieves-vct-2026-americas-kickoff-mr1
VCT 2026: Americas Kickoff,2682,596410,Evil Geniuses,Sentinels,0,2,8:10 AM,Middle Round 1,Completed,https://www.vlr.gg/596410/evil-geniuses-vs-sentinels-vct-2026-americas-kickoff-mr1
VCT 2026: Americas Kickoff,2682,596411,KRÜ Esports,ENVY,1,2,5:00 AM,Middle Round 1,Completed,https://www.vlr.gg/596411/kr-esports-vs-envy-vct-2026-americas-kickoff-mr1
VCT 2026: Americas Kickoff,2682,596412,LEVIATÁN,Cloud9,0,2,8:05 AM,Middle Round 1,Completed,https://www.vlr.gg/596412/leviat-n-vs-cloud9-vct-2026-americas-kickoff-mr1
VCT 2026: Americas Kickoff,2682,596413,100 Thieves,Sentinels,2,0,5:00 AM,Middle Round 2,Completed,https://www.vlr.gg/596413/100-thieves-vs-sentinels-vct-2026-americas-kickoff-mr2
VCT 2026: Americas Kickoff,2682,596414,ENVY,Cloud9,1,2,8:00 AM,Middle Round 2,Completed,https://www.vlr.gg/596414/envy-vs-cloud9-vct-2026-americas-kickoff-mr2
VCT 2026: Americas Kickoff,2682,596406,NRG,MIBR,1,2,5:00 AM,Upper Round 3,Completed,https://www.vlr.gg/596406/nrg-vs-mibr-vct-2026-americas-kickoff-ur3
VCT 2026: Americas Kickoff,2682,596407,FURIA,G2 Esports,2,1,8:55 AM,Upper Round 3,Completed,https://www.vlr.gg/596407/furia-vs-g2-esports-vct-2026-americas-kickoff-ur3
VCT 2026: Americas Kickoff,2682,596419,LOUD,Evil Geniuses,0,2,5:00 AM,Lower Round 1,Completed,https://www.vlr.gg/596419/loud-vs-evil-geniuses-vct-2026-americas-kickoff-lr1
VCT 2026: Americas Kickoff,2682,596420,KRÜ Esports,LEVIATÁN,0,2,7:45 AM,Lower Round 1,Completed,https://www.vlr.gg/596420/kr-esports-vs-leviat-n-vct-2026-americas-kickoff-lr1
VCT 2026: Americas Kickoff,2682,596415,NRG,100 Thieves,2,0,5:00 AM,Middle Round 3,Completed,https://www.vlr.gg/596415/nrg-vs-100-thieves-vct-2026-americas-kickoff-mr3
VCT 2026: Americas Kickoff,2682,596416,G2 Esports,Cloud9,2,0,7:25 AM,Middle Round 3,Completed,https://www.vlr.gg/596416/g2-esports-vs-cloud9-vct-2026-americas-kickoff-mr3
VCT 2026: Americas Kickoff,2682,596421,ENVY,Evil Geniuses,0,2,5:00 AM,Lower Round 2,Completed,https://www.vlr.gg/596421/envy-vs-evil-geniuses-vct-2026-americas-kickoff-lr2
VCT 2026: Americas Kickoff,2682,596422,Sentinels,LEVIATÁN,0,2,7:30 AM,Lower Round 2,Completed,https://www.vlr.gg/596422/sentinels-vs-leviat-n-vct-2026-americas-kickoff-lr2
VCT 2026: Americas Kickoff,2682,596423,100 Thieves,Evil Geniuses,2,0,3:00 AM,Lower Round 3,Completed,https://www.vlr.gg/596423/100-thieves-vs-evil-geniuses-vct-2026-americas-kickoff-lr3
VCT 2026: Americas Kickoff,2682,596424,Cloud9,LEVIATÁN,2,0,6:20 AM,Lower Round 3,Completed,https://www.vlr.gg/596424/cloud9-vs-leviat-n-vct-2026-americas-kickoff-lr3
VCT 2026: Americas Kickoff,2682,596417,NRG,G2 Esports,0,2,8:25 AM,Middle Round 4,Completed,https://www.vlr.gg/596417/nrg-vs-g2-esports-vct-2026-americas-kickoff-mr4
VCT 2026: Americas Kickoff,2682,596425,100 Thieves,Cloud9,2,1,3:00 AM,Lower Round 4,Completed,https://www.vlr.gg/596425/100-thieves-vs-cloud9-vct-2026-americas-kickoff-lr4
VCT 2026: Americas Kickoff,2682,596408,MIBR,FURIA,2,3,6:30 AM,Upper Final,Completed,https://www.vlr.gg/596408/mibr-vs-furia-vct-2026-americas-kickoff-ubf
VCT 2026: Americas Kickoff,2682,596426,NRG,100 Thieves,2,0,3:00 AM,Lower Round 5,Completed,https://www.vlr.gg/596426/nrg-vs-100-thieves-vct-2026-americas-kickoff-lr5
VCT 2026: Americas Kickoff,2682,596418,MIBR,G2 Esports,0,3,5:20 AM,Middle Final,Completed,https://www.vlr.gg/596418/mibr-vs-g2-esports-vct-2026-americas-kickoff-mbf
VCT 2026: Americas Kickoff,2682,596427,MIBR,NRG,2,3,5:00 AM,Lower Final,Completed,https://www.vlr.gg/596427/mibr-vs-nrg-vct-2026-americas-kickoff-lbf
VCT 2026: EMEA Kickoff,2684,594740,Natus Vincere,Karmine Corp,2,0,11:00 PM,Upper Round 1,Completed,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1
VCT 2026: EMEA Kickoff,2684,594741,FUT Esports,Gentle Mates,0,2,1:35 AM,Upper Round 1,Completed,https://www.vlr.gg/594741/fut-esports-vs-gentle-mates-vct-2026-emea-kickoff-ur1
VCT 2026: EMEA Kickoff,2684,594742,PCIFIC Esports,BBL Esports,1,2,11:00 PM,Upper Round 1,Completed,https://www.vlr.gg/594742/pcific-esports-vs-bbl-esports-vct-2026-emea-kickoff-ur1
VCT 2026: EMEA Kickoff,2684,594743,ULF Esports,Team Vitality,0,2,2:20 AM,Upper Round 1,Completed,https://www.vlr.gg/594743/ulf-esports-vs-team-vitality-vct-2026-emea-kickoff-ur1
VCT 2026: EMEA Kickoff,2684,594744,Team Heretics,Natus Vincere,1,2,11:00 PM,Upper Round 2,Completed,https://www.vlr.gg/594744/team-heretics-vs-natus-vincere-vct-2026-emea-kickoff-ur2
VCT 2026: EMEA Kickoff,2684,594745,GIANTX,Gentle Mates,0,2,2:30 AM,Upper Round 2,Completed,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2
VCT 2026: EMEA Kickoff,2684,594746,FNATIC,BBL Esports,0,2,11:00 PM,Upper Round 2,Completed,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2
VCT 2026: EMEA Kickoff,2684,594747,Team Liquid,Team Vitality,1,2,1:25 AM,Upper Round 2,Completed,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2
VCT 2026: EMEA Kickoff,2684,594751,Karmine Corp,Team Liquid,1,2,11:00 PM,Middle Round 1,Completed,https://www.vlr.gg/594751/karmine-corp-vs-team-liquid-vct-2026-emea-kickoff-mr1
VCT 2026: EMEA Kickoff,2684,594752,FUT Esports,FNATIC,1,2,2:20 AM,Middle Round 1,Completed,https://www.vlr.gg/594752/fut-esports-vs-fnatic-vct-2026-emea-kickoff-mr1
VCT 2026: EMEA Kickoff,2684,594753,PCIFIC Esports,GIANTX,1,2,11:00 PM,Middle Round 1,Completed,https://www.vlr.gg/594753/pcific-esports-vs-giantx-vct-2026-emea-kickoff-mr1
VCT 2026: EMEA Kickoff,2684,594754,ULF Esports,Team Heretics,0,2,2:35 AM,Middle Round 1,Completed,https://www.vlr.gg/594754/ulf-esports-vs-team-heretics-vct-2026-emea-kickoff-mr1
VCT 2026: EMEA Kickoff,2684,594748,Natus Vincere,Gentle Mates,0,2,11:00 PM,Upper Round 3,Completed,https://www.vlr.gg/594748/natus-vincere-vs-gentle-mates-vct-2026-emea-kickoff-ur3
VCT 2026: EMEA Kickoff,2684,594749,BBL Esports,Team Vitality,2,0,1:20 AM,Upper Round 3,Completed,https://www.vlr.gg/594749/bbl-esports-vs-team-vitality-vct-2026-emea-kickoff-ur3
VCT 2026: EMEA Kickoff,2684,594755,Team Liquid,FNATIC,0,2,11:00 PM,Middle Round 2,Completed,https://www.vlr.gg/594755/team-liquid-vs-fnatic-vct-2026-emea-kickoff-mr2
VCT 2026: EMEA Kickoff,2684,594756,GIANTX,Team Heretics,2,0,1:20 AM,Middle Round 2,Completed,https://www.vlr.gg/594756/giantx-vs-team-heretics-vct-2026-emea-kickoff-mr2
VCT 2026: EMEA Kickoff,2684,594761,Karmine Corp,FUT Esports,2,1,11:00 PM,Lower Round 1,Completed,https://www.vlr.gg/594761/karmine-corp-vs-fut-esports-vct-2026-emea-kickoff-lr1
VCT 2026: EMEA Kickoff,2684,594762,PCIFIC Esports,ULF Esports,0,2,2:35 AM,Lower Round 1,Completed,https://www.vlr.gg/594762/pcific-esports-vs-ulf-esports-vct-2026-emea-kickoff-lr1
VCT 2026: EMEA Kickoff,2684,594757,Natus Vincere,FNATIC,1,2,11:00 PM,Middle Round 3,Completed,https://www.vlr.gg/594757/natus-vincere-vs-fnatic-vct-2026-emea-kickoff-mr3
VCT 2026: EMEA Kickoff,2684,594758,Team Vitality,GIANTX,2,0,3:00 AM,Middle Round 3,Completed,https://www.vlr.gg/594758/team-vitality-vs-giantx-vct-2026-emea-kickoff-mr3
VCT 2026: EMEA Kickoff,2684,594763,Team Heretics,Karmine Corp,2,1,11:00 PM,Lower Round 2,Completed,https://www.vlr.gg/594763/team-heretics-vs-karmine-corp-vct-2026-emea-kickoff-lr2
VCT 2026: EMEA Kickoff,2684,594764,Team Liquid,ULF Esports,2,1,2:00 AM,Lower Round 2,Completed,https://www.vlr.gg/594764/team-liquid-vs-ulf-esports-vct-2026-emea-kickoff-lr2
VCT 2026: EMEA Kickoff,2684,594765,Natus Vincere,Team Heretics,0,2,11:00 PM,Lower Round 3,Completed,https://www.vlr.gg/594765/natus-vincere-vs-team-heretics-vct-2026-emea-kickoff-lr3
VCT 2026: EMEA Kickoff,2684,594766,GIANTX,Team Liquid,1,2,1:00 AM,Lower Round 3,Completed,https://www.vlr.gg/594766/giantx-vs-team-liquid-vct-2026-emea-kickoff-lr3
VCT 2026: EMEA Kickoff,2684,594767,Team Heretics,Team Liquid,0,2,12:00 AM,Lower Round 4,Completed,https://www.vlr.gg/594767/team-heretics-vs-team-liquid-vct-2026-emea-kickoff-lr4
VCT 2026: EMEA Kickoff,2684,594759,FNATIC,Team Vitality,2,0,8:00 PM,Middle Round 4,Completed,https://www.vlr.gg/594759/fnatic-vs-team-vitality-vct-2026-emea-kickoff-mr4
VCT 2026: EMEA Kickoff,2684,594750,Gentle Mates,BBL Esports,2,3,10:15 PM,Upper Final,Completed,https://www.vlr.gg/594750/gentle-mates-vs-bbl-esports-vct-2026-emea-kickoff-ubf
VCT 2026: EMEA Kickoff,2684,594768,Team Vitality,Team Liquid,1,2,8:00 PM,Lower Round 5,Completed,https://www.vlr.gg/594768/team-vitality-vs-team-liquid-vct-2026-emea-kickoff-lr5
VCT 2026: EMEA Kickoff,2684,594760,Gentle Mates,FNATIC,3,2,11:10 PM,Middle Final,Completed,https://www.vlr.gg/594760/gentle-mates-vs-fnatic-vct-2026-emea-kickoff-mbf
VCT 2026: EMEA Kickoff,2684,594769,FNATIC,Team Liquid,0,3,12:00 AM,Lower Final,Completed,https://www.vlr.gg/594769/fnatic-vs-team-liquid-vct-2026-emea-kickoff-lbf
VCT 2026: Pacific Kickoff,2683,595630,Nongshim RedForce,Team Secret,2,0,3:00 PM,Upper Round 1,Completed,https://www.vlr.gg/595630/nongshim-redforce-vs-team-secret-vct-2026-pacific-kickoff-ur1
VCT 2026: Pacific Kickoff,2683,595631,ZETA DIVISION,FULL SENSE,0,2,5:10 PM,Upper Round 1,Completed,https://www.vlr.gg/595631/zeta-division-vs-full-sense-vct-2026-pacific-kickoff-ur1
VCT 2026: Pacific Kickoff,2683,595632,VARREL,Global Esports,0,2,3:00 PM,Upper Round 1,Completed,https://www.vlr.gg/595632/varrel-vs-global-esports-vct-2026-pacific-kickoff-ur1
VCT 2026: Pacific Kickoff,2683,595633,DetonatioN FocusMe,Gen.G,2,0,5:10 PM,Upper Round 1,Completed,https://www.vlr.gg/595633/detonation-focusme-vs-gen-g-vct-2026-pacific-kickoff-ur1
VCT 2026: Pacific Kickoff,2683,595634,T1,Nongshim RedForce,1,2,3:00 PM,Upper Round 2,Completed,https://www.vlr.gg/595634/t1-vs-nongshim-redforce-vct-2026-pacific-kickoff-ur2
VCT 2026: Pacific Kickoff,2683,595635,Kiwoom DRX,FULL SENSE,1,2,5:55 PM,Upper Round 2,Completed,https://www.vlr.gg/595635/drx-vs-full-sense-vct-2026-pacific-kickoff-ur2
VCT 2026: Pacific Kickoff,2683,595636,Paper Rex,Global Esports,2,1,3:00 PM,Upper Round 2,Completed,https://www.vlr.gg/595636/paper-rex-vs-global-esports-vct-2026-pacific-kickoff-ur2
VCT 2026: Pacific Kickoff,2683,595637,Rex Regum Qeon,DetonatioN FocusMe,2,0,6:00 PM,Upper Round 2,Completed,https://www.vlr.gg/595637/rex-regum-qeon-vs-detonation-focusme-vct-2026-pacific-kickoff-ur2
VCT 2026: Pacific Kickoff,2683,595641,Team Secret,DetonatioN FocusMe,0,2,3:00 PM,Middle Round 1,Completed,https://www.vlr.gg/595641/team-secret-vs-detonation-focusme-vct-2026-pacific-kickoff-mr1
VCT 2026: Pacific Kickoff,2683,595642,ZETA DIVISION,Global Esports,0,2,5:00 PM,Middle Round 1,Completed,https://www.vlr.gg/595642/zeta-division-vs-global-esports-vct-2026-pacific-kickoff-mr1
VCT 2026: Pacific Kickoff,2683,595643,VARREL,Kiwoom DRX,1,2,3:00 PM,Middle Round 1,Completed,https://www.vlr.gg/595643/varrel-vs-drx-vct-2026-pacific-kickoff-mr1
VCT 2026: Pacific Kickoff,2683,595644,Gen.G,T1,1,2,6:25 PM,Middle Round 1,Completed,https://www.vlr.gg/595644/gen-g-vs-t1-vct-2026-pacific-kickoff-mr1
VCT 2026: Pacific Kickoff,2683,595638,Nongshim RedForce,FULL SENSE,2,0,3:00 PM,Upper Round 3,Completed,https://www.vlr.gg/595638/nongshim-redforce-vs-full-sense-vct-2026-pacific-kickoff-ur3
VCT 2026: Pacific Kickoff,2683,595639,Paper Rex,Rex Regum Qeon,0,2,5:10 PM,Upper Round 3,Completed,https://www.vlr.gg/595639/paper-rex-vs-rex-regum-qeon-vct-2026-pacific-kickoff-ur3
VCT 2026: Pacific Kickoff,2683,595645,DetonatioN FocusMe,Global Esports,2,1,3:00 PM,Middle Round 2,Completed,https://www.vlr.gg/595645/detonation-focusme-vs-global-esports-vct-2026-pacific-kickoff-mr2
VCT 2026: Pacific Kickoff,2683,595646,Kiwoom DRX,T1,0,2,6:05 PM,Middle Round 2,Completed,https://www.vlr.gg/595646/drx-vs-t1-vct-2026-pacific-kickoff-mr2
VCT 2026: Pacific Kickoff,2683,595651,Team Secret,ZETA DIVISION,1,2,3:00 PM,Lower Round 1,Completed,https://www.vlr.gg/595651/team-secret-vs-zeta-division-vct-2026-pacific-kickoff-lr1
VCT 2026: Pacific Kickoff,2683,595652,VARREL,Gen.G,1,2,5:45 PM,Lower Round 1,Completed,https://www.vlr.gg/595652/varrel-vs-gen-g-vct-2026-pacific-kickoff-lr1
VCT 2026: Pacific Kickoff,2683,595647,FULL SENSE,DetonatioN FocusMe,1,2,3:00 PM,Middle Round 3,Completed,https://www.vlr.gg/595647/full-sense-vs-detonation-focusme-vct-2026-pacific-kickoff-mr3
VCT 2026: Pacific Kickoff,2683,595648,Paper Rex,T1,1,2,6:00 PM,Middle Round 3,Completed,https://www.vlr.gg/595648/paper-rex-vs-t1-vct-2026-pacific-kickoff-mr3
VCT 2026: Pacific Kickoff,2683,595653,Kiwoom DRX,ZETA DIVISION,2,1,3:00 PM,Lower Round 2,Completed,https://www.vlr.gg/595653/drx-vs-zeta-division-vct-2026-pacific-kickoff-lr2
VCT 2026: Pacific Kickoff,2683,595654,Global Esports,Gen.G,2,1,6:00 PM,Lower Round 2,Completed,https://www.vlr.gg/595654/global-esports-vs-gen-g-vct-2026-pacific-kickoff-lr2
VCT 2026: Pacific Kickoff,2683,595655,FULL SENSE,Kiwoom DRX,0,2,3:00 PM,Lower Round 3,Completed,https://www.vlr.gg/595655/full-sense-vs-drx-vct-2026-pacific-kickoff-lr3
VCT 2026: Pacific Kickoff,2683,595656,Paper Rex,Global Esports,2,1,5:00 PM,Lower Round 3,Completed,https://www.vlr.gg/595656/paper-rex-vs-global-esports-vct-2026-pacific-kickoff-lr3
VCT 2026: Pacific Kickoff,2683,595657,Kiwoom DRX,Paper Rex,1,2,3:00 PM,Lower Round 4,Completed,https://www.vlr.gg/595657/drx-vs-paper-rex-vct-2026-pacific-kickoff-lr4
VCT 2026: Pacific Kickoff,2683,595649,DetonatioN FocusMe,T1,0,2,2:00 PM,Middle Round 4,Completed,https://www.vlr.gg/595649/detonation-focusme-vs-t1-vct-2026-pacific-kickoff-mr4
VCT 2026: Pacific Kickoff,2683,595640,Nongshim RedForce,Rex Regum Qeon,3,2,4:00 PM,Upper Final,Completed,https://www.vlr.gg/595640/nongshim-redforce-vs-rex-regum-qeon-vct-2026-pacific-kickoff-ubf
VCT 2026: Pacific Kickoff,2683,595658,DetonatioN FocusMe,Paper Rex,0,2,2:00 PM,Lower Round 5,Completed,https://www.vlr.gg/595658/detonation-focusme-vs-paper-rex-vct-2026-pacific-kickoff-lr5
VCT 2026: Pacific Kickoff,2683,595650,Rex Regum Qeon,T1,0,3,4:00 PM,Middle Final,Completed,https://www.vlr.gg/595650/rex-regum-qeon-vs-t1-vct-2026-pacific-kickoff-mbf
VCT 2026: Pacific Kickoff,2683,595659,Rex Regum Qeon,Paper Rex,1,3,2:00 PM,Lower Final,Completed,https://www.vlr.gg/595659/rex-regum-qeon-vs-paper-rex-vct-2026-pacific-kickoff-lbf
VCT 2026: China Kickoff,2685,598923,Trace Esports,Wolves Esports,1,2,4:00 PM,Upper Round 1,Completed,https://www.vlr.gg/598923/trace-esports-vs-wolves-esports-vct-2026-china-kickoff-ur1
VCT 2026: China Kickoff,2685,598924,FunPlus Phoenix,TYLOO,0,2,7:25 PM,Upper Round 1,Completed,https://www.vlr.gg/598924/funplus-phoenix-vs-tyloo-vct-2026-china-kickoff-ur1
VCT 2026: China Kickoff,2685,598921,All Gamers,Nova Esports,2,0,4:00 PM,Upper Round 1,Completed,https://www.vlr.gg/598921/all-gamers-vs-nova-esports-vct-2026-china-kickoff-ur1
VCT 2026: China Kickoff,2685,598922,JDG Esports,Titan Esports Club,2,1,6:55 PM,Upper Round 1,Completed,https://www.vlr.gg/598922/jdg-esports-vs-titan-esports-club-vct-2026-china-kickoff-ur1
VCT 2026: China Kickoff,2685,598927,Xi Lai Gaming,Wolves Esports,2,0,4:00 PM,Upper Round 2,Completed,https://www.vlr.gg/598927/xi-lai-gaming-vs-wolves-esports-vct-2026-china-kickoff-ur2
VCT 2026: China Kickoff,2685,598928,EDward Gaming,TYLOO,2,0,6:35 PM,Upper Round 2,Completed,https://www.vlr.gg/598928/edward-gaming-vs-tyloo-vct-2026-china-kickoff-ur2
VCT 2026: China Kickoff,2685,598925,Bilibili Gaming,All Gamers,0,2,4:00 PM,Upper Round 2,Completed,https://www.vlr.gg/598925/bilibili-gaming-vs-all-gamers-vct-2026-china-kickoff-ur2
VCT 2026: China Kickoff,2685,598926,Dragon Ranger Gaming,JDG Esports,2,1,6:30 PM,Upper Round 2,Completed,https://www.vlr.gg/598926/dragon-ranger-gaming-vs-jdg-esports-vct-2026-china-kickoff-ur2
VCT 2026: China Kickoff,2685,598932,Nova Esports,TYLOO,0,2,4:00 PM,Middle Round 1,Completed,https://www.vlr.gg/598932/nova-esports-vs-tyloo-vct-2026-china-kickoff-mr1
VCT 2026: China Kickoff,2685,598933,Titan Esports Club,Wolves Esports,2,1,6:00 PM,Middle Round 1,Completed,https://www.vlr.gg/598933/titan-esports-club-vs-wolves-esports-vct-2026-china-kickoff-mr1
VCT 2026: China Kickoff,2685,598934,Trace Esports,JDG Esports,2,1,4:00 PM,Middle Round 1,Completed,https://www.vlr.gg/598934/trace-esports-vs-jdg-esports-vct-2026-china-kickoff-mr1
VCT 2026: China Kickoff,2685,598935,FunPlus Phoenix,Bilibili Gaming,0,2,7:10 PM,Middle Round 1,Completed,https://www.vlr.gg/598935/funplus-phoenix-vs-bilibili-gaming-vct-2026-china-kickoff-mr1
VCT 2026: China Kickoff,2685,598936,TYLOO,Titan Esports Club,2,1,4:00 PM,Middle Round 2,Completed,https://www.vlr.gg/598936/tyloo-vs-titan-esports-club-vct-2026-china-kickoff-mr2
VCT 2026: China Kickoff,2685,598937,Trace Esports,Bilibili Gaming,0,2,7:25 PM,Middle Round 2,Completed,https://www.vlr.gg/598937/trace-esports-vs-bilibili-gaming-vct-2026-china-kickoff-mr2
VCT 2026: China Kickoff,2685,598942,Nova Esports,Wolves Esports,1,2,4:00 PM,Lower Round 1,Completed,https://www.vlr.gg/598942/nova-esports-vs-wolves-esports-vct-2026-china-kickoff-lr1
